id,url,name,type,language,genres,status,runtime,averageRuntime,premiered,ended,officialSite,schedule_time,schedule_days,rating,weight,summary,webChannel_name,webChannel_site,dvd_country,externals_tvrage,externals_thetvdb,externals_imdb,updated
43031,https://www.tvmaze.com/shows/43031/reacher,Reacher,Scripted,English,"['Drama', 'Action', 'Thriller']",Running,,48.0,2022-02-04,,https://www.amazon.com/dp/B09MKZTJF4,,['Friday'],8.2,100,"<p><b>Reacher</b><i> </i>follows Jack Reacher, a veteran military police investigator who has just recently entered civilian life. Reacher is a drifter, carrying no phone and the barest of essentials as he travels the country and explores the nation he once served. When Reacher arrives in the small town of Margrave, Georgia, he finds a community grappling with its first homicide in 20 years. The cops immediately arrest him and eyewitnesses claim to place Reacher at the scene of the crime. While he works to prove his innocence, a deep-seated conspiracy begins to emerge, one that will require Reacher's keen mind and hard-hitting fists to deal with. One thing above all is for sure: They picked the wrong guy to take the fall.</p>",Prime Video,https://www.primevideo.com,,,366924.0,tt9288030,1738037127
52662,https://www.tvmaze.com/shows/52662/o-clube,O Clube,Scripted,Portuguese,['Drama'],Running,,45.0,2020-12-18,,https://sic.pt/Programas/o-clube,,['Friday'],,84,"<p><b>O Clube</b> takes place in the eponymous nightclub, located in the city center of Lisbon, and follows the story of 3 characters: the owner, security guard and the young girl.</p>",OPTO | SIC,,,,391805.0,tt13304884,1704368778
59221,https://www.tvmaze.com/shows/59221/the-established-home,The Established Home,Reality,English,,To Be Determined,,43.0,2021-12-31,,https://www.discoveryplus.com/show/the-established-home-us,,['Friday'],,26,"<p>Designer Jean Stoffer takes on some of her most ambitious projects to date around her hometown of Grand Rapids, MI. She shares the inspiration behind her stunning designs, as well as the important role family plays in her life and business.</p>",discovery+,https://www.discoveryplus.com/,,,414739.0,,1707027631
60090,https://www.tvmaze.com/shows/60090/monarch-legacy-of-monsters,Monarch: Legacy of Monsters,Scripted,English,"['Action', 'Adventure', 'Science-Fiction']",Running,,46.0,2023-11-17,,https://tv.apple.com/us/show/monarch-legacy-of-monsters/umc.cmc.62l8x0ixrhyq3yaqa5y8yo7ew,,['Friday'],7.4,99,"<p>After surviving Godzilla's attack on San Francisco, Cate is shaken yet again by a shocking secret. Amid monstrous threats, she embarks on a globetrotting adventure to learn the truth about her family—and the mysterious organization known as Monarch.</p>",Apple TV+,https://tv.apple.com/,,,422598.0,tt17220216,1712952332
61618,https://www.tvmaze.com/shows/61618/the-turkish-detective,The Turkish Detective,Scripted,Turkish,"['Drama', 'Crime', 'Thriller']",To Be Determined,,50.0,2023-12-15,,,,['Friday'],,88,"<p><b>The Turkish Detective</b>, a detective series set in modern-day Istanbul based on the CWA Silver Dagger Award-winning novels.</p>",Paramount+,https://www.paramountplus.com/,,,419001.0,tt19636762,1721962780
62545,https://www.tvmaze.com/shows/62545/ww2-war-against-humanity,WW2: War Against Humanity,Documentary,English,"['War', 'History']",Ended,,19.0,2019-03-06,2024-08-31,,,,,2,"<p><b>War Against Humanity</b> is a sub-series of ""World War Two: Week by Week"" focusing on war crimes and atrocities from all sides of the conflict that aren't described in detail in regular week by week episodes.</p>",YouTube,https://www.youtube.com,,,,,1725237050
64369,https://www.tvmaze.com/shows/64369/gyeongseong-creature,Gyeongseong Creature,Scripted,Korean,"['Drama', 'Action', 'Horror']",Ended,,61.0,2023-12-22,2024-09-27,https://www.netflix.com/title/81618079,,,6.6,54,"<p>Gyeongseong, 1945. In Seoul's grim era under colonial rule, an entrepreneur and a sleuth fight for survival and face a monster born out of human greed.</p>",Netflix,https://www.netflix.com/,,,412608.0,tt22352854,1736448029
66531,https://www.tvmaze.com/shows/66531/lol-skrattar-bast-som-skrattar-sist,LOL: Skrattar Bäst Som Skrattar Sist,Game Show,Swedish,,Running,30.0,30.0,2022-12-28,,https://www.primevideo.com/detail/LOL-Last-One-Laughing-Sweden/0I0TEBV2UPXJBLYA3K3KNJEP1R/ref=atv_nb_lcl_sv_SE?ie=UTF8,,,,11,"<p>Ten of Sweden's best comedians compete to make each other laugh, without bursting into laughter themselves. Anyone who can't keep up is out of the competition, where the winner's belt and SEK 500,000 for charity are at stake. All under the direction of Eva Röse.</p>",Prime Video,https://www.primevideo.com,,,428911.0,tt23050736,1734189148
67434,https://www.tvmaze.com/shows/67434/kiya-the-kimoja-heroes,Kiya & the Kimoja Heroes,Animation,English,,To Be Determined,12.0,12.0,2023-03-22,,https://www.disneyplus.com/series/kiya-the-kimoja-heroes/D9ZN9OoWzdAR,,,,18,"<p>Together, with their crystal-charged powers, they are superheroes in the Southern-African inspired Kimoja City, shining bright to make things right until harmony and unity is restored in their community.</p>",Disney+,https://www.disneyplus.com/,,,405115.0,tt27126726,1714171276
69742,https://www.tvmaze.com/shows/69742/the-great-ruler,The Great Ruler,Animation,Chinese,,Running,20.0,20.0,2023-06-30,,https://www.iqiyi.com/a_1fr4mggsp0t.html,,['Friday'],5.5,76,"<p>In the vast world, planes converge and numerous races thrive. A gathering of extraordinary talents unfolds, where one after another, supreme beings from the lower planes come forth. In this boundless realm, they weave captivating legends that inspire admiration, pursuing the path to dominance.</p>",iQIYI,https://www.iq.com/,,,434678.0,,1735147608
